date,user_id,text,url,renderedContent,user_name,user_followers,replyCount,retweet-count,likeCount,quoteCount,lang,conversationId,outlinks,source,is_retweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,user_location,hashtags,cashtags,mentionedUsers.1,outlinks.1,tcooutlinks,sourceLabel,Sarcasm,Sentiment,Polarity
2022-08-29 19:30:16+00:00,1564334640437071874,"افغان کرېکټ ملي لوبډلې سبانۍ لوبې لپاره تمرینات وکړل. دغه لوبډله به سبا پۀ شارجه کرېکټ لوبغالي کې بنګله دېش پر وړاندې د لوبې ډګر ته ښکته شي.
@SportRta
#AsiaCup2022
#AFGvsBAN https://t.co/EHZERIdxx4",https://twitter.com/SportRta/status/1564334640437071874,"افغان کرېکټ ملي لوبډلې سبانۍ لوبې لپاره تمرینات وکړل. دغه لوبډله به سبا پۀ شارجه کرېکټ لوبغالي کې بنګله دېش پر وړاندې د لوبې ډګر ته ښکته شي.
@SportRta
#AsiaCup2022
#AFGvsBAN https://t.co/EHZERIdxx4",SportRta,51000,0,0,31,0,ps,1564334640437071874,,"[Photo(previewUrl='https://pbs.twimg.com/media/FbWiEHPXkAAROA_?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbWiEHPXkAAROA_?format=jpg&name=large')]",,,,,"[User(username='SportRta', id=1127485465232388096, displayname='RTA Sport', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,"['AsiaCup2022', 'AFGvsBAN']",,"[User(username='SportRta', id=1127485465232388096, displayname='RTA Sport', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android,0,1,0.99521005
2022-08-29 19:29:47+00:00,1564334516960763904,"#AsiaCup2022 
#AFGvsBAN 
Sharjah is the venue. The highest scoring venue of the tournament
@BCBtigers need to remember @OfficialSLC has a. -5.7 RR
@ACBofficials I would assume would like to bowl if they win the toss. See if the can dominate PP1 with the ball again
More to follow",https://twitter.com/thundhaa/status/1564334516960763904,"#AsiaCup2022 
#AFGvsBAN 
Sharjah is the venue. The highest scoring venue of the tournament
@BCBtigers need to remember @OfficialSLC has a. -5.7 RR
@ACBofficials I would assume would like to bowl if they win the toss. See if the can dominate PP1 with the ball again
More to follow",thundhaa,105,0,0,0,0,en,1564334516960763904,,,,,,,"[User(username='BCBtigers', id=316577087, displayname='Bangladesh Cricket', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='OfficialSLC', id=177838266, displayname='Sri Lanka Cricket 🇱🇰', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ACBofficials', id=141175770, displayname='Afghanistan Cricket Board', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,"['AsiaCup2022', 'AFGvsBAN']",,"[User(username='BCBtigers', id=316577087, displayname='Bangladesh Cricket', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='OfficialSLC', id=177838266, displayname='Sri Lanka Cricket 🇱🇰', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ACBofficials', id=141175770, displayname='Afghanistan Cricket Board', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android,0,1,0.9988254
2022-08-29 17:42:16+00:00,1564307458499428352,"Waiting For Tomorrow 🤗
#banvsafg #AFGvsBAN #AsiaCup2022 
#Tigers are ready to #roar 🇧🇩💪💪🇧🇩

#bangladesh @BCBtigers VS #Afganistan @ACBofficials https://t.co/3GujfRB9Qw",https://twitter.com/mdmisami/status/1564307458499428352,"Waiting For Tomorrow 🤗
#banvsafg #AFGvsBAN #AsiaCup2022 
#Tigers are ready to #roar 🇧🇩💪💪🇧🇩

#bangladesh @BCBtigers VS #Afganistan @ACBofficials https://t.co/3GujfRB9Qw",mdmisami,1074,0,0,0,0,en,1564307458499428352,,"[Photo(previewUrl='https://pbs.twimg.com/media/FbWJJc3acAAI9hI?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbWJJc3acAAI9hI?format=jpg&name=large')]",,,,,"[User(username='BCBtigers', id=316577087, displayname='Bangladesh Cricket', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ACBofficials', id=141175770, displayname='Afghanistan Cricket Board', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,"['banvsafg', 'AFGvsBAN', 'AsiaCup2022', 'Tigers', 'roar', 'bangladesh', 'Afganistan']",,"[User(username='BCBtigers', id=316577087, displayname='Bangladesh Cricket', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ACBofficials', id=141175770, displayname='Afghanistan Cricket Board', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter Web App,0,1,0.9308764
2022-08-29 17:18:41+00:00,1564301523655737344,"Who will win the Asia Cup?
#India #Pakistan #Bangladesh #Afganistan #AsiaCup2022 
#INDvPAK #AFGvsBAN",https://twitter.com/Crazyqueen149/status/1564301523655737344,"Who will win the Asia Cup?
#India #Pakistan #Bangladesh #Afganistan #AsiaCup2022 
#INDvPAK #AFGvsBAN",Crazyqueen149,365,1,0,0,0,en,1564301523655737344,,,,,,,,,,"['India', 'Pakistan', 'Bangladesh', 'Afganistan', 'AsiaCup2022', 'INDvPAK', 'AFGvsBAN']",,,,,Twitter for Android,0,0,0.18851113
2022-08-29 17:18:00+00:00,1564301353152921600,"Big Clash Who Will Win?
#AsiaCup2022 
#AsiaCupT20 
#AsiaCup 
#AFGvsBAN 
#BanVsAfg 
#ACC 
#BanvsAfgAsiacup https://t.co/eELcPqi8Bo",https://twitter.com/si_sports/status/1564301353152921600,"Big Clash Who Will Win?
#AsiaCup2022 
#AsiaCupT20 
#AsiaCup 
#AFGvsBAN 
#BanVsAfg 
#ACC 
#BanvsAfgAsiacup https://t.co/eELcPqi8Bo",si_sports,3,0,0,0,0,en,1564301353152921600,,"[Photo(previewUrl='https://pbs.twimg.com/media/FbWDyhyWQAA3zyl?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbWDyhyWQAA3zyl?format=jpg&name=large')]",,,,,,,,"['AsiaCup2022', 'AsiaCupT20', 'AsiaCup', 'AFGvsBAN', 'BanVsAfg', 'ACC', 'BanvsAfgAsiacup']",,,,,Twitter for Android,0,1,0.9990781
2022-08-29 15:58:05+00:00,1564281240303575040,"अफगानिस्तान ने अपने पहले मुकाबले में श्रीलंका को 8 विकेट से हराकर विजयी आगाज किया था
#Afghanistan #Bangladesh #AsiaCup2022 #LiveStreaming #AFGvsBAN 
https://t.co/f46d7u178M",https://twitter.com/IndiaTVSports/status/1564281240303575040,"अफगानिस्तान ने अपने पहले मुकाबले में श्रीलंका को 8 विकेट से हराकर विजयी आगाज किया था
#Afghanistan #Bangladesh #AsiaCup2022 #LiveStreaming #AFGvsBAN 
indiatv.in/sports/cricket…",IndiaTVSports,4674,0,0,2,0,hi,1564281240303575040,['https://www.indiatv.in/sports/cricket/asia-cup-2022-afg-vs-ban-live-streaming-afghanistan-v-bangladesh-match-updates-squads-team-details-2022-08-29-878489'],,,,,,,,,"['Afghanistan', 'Bangladesh', 'AsiaCup2022', 'LiveStreaming', 'AFGvsBAN']",,,['https://www.indiatv.in/sports/cricket/asia-cup-2022-afg-vs-ban-live-streaming-afghanistan-v-bangladesh-match-updates-squads-team-details-2022-08-29-878489'],['https://t.co/f46d7u178M'],TweetDeck,0,1,0.7048216
2022-08-29 15:58:02+00:00,1564281229473894403,"अफगानिस्तान ने अपने पहले मुकाबले में श्रीलंका को 8 विकेट से हराकर विजयी आगाज किया था
#Afghanistan #Bangladesh #AsiaCup2022 #LiveStreaming #AFGvsBAN 
https://t.co/uDdEV9ctvk",https://twitter.com/indiatvnews/status/1564281229473894403,"अफगानिस्तान ने अपने पहले मुकाबले में श्रीलंका को 8 विकेट से हराकर विजयी आगाज किया था
#Afghanistan #Bangladesh #AsiaCup2022 #LiveStreaming #AFGvsBAN 
indiatv.in/sports/cricket…",indiatvnews,2104479,0,2,13,0,hi,1564281229473894403,['https://www.indiatv.in/sports/cricket/asia-cup-2022-afg-vs-ban-live-streaming-afghanistan-v-bangladesh-match-updates-squads-team-details-2022-08-29-878489'],,,,,,,,,"['Afghanistan', 'Bangladesh', 'AsiaCup2022', 'LiveStreaming', 'AFGvsBAN']",,,['https://www.indiatv.in/sports/cricket/asia-cup-2022-afg-vs-ban-live-streaming-afghanistan-v-bangladesh-match-updates-squads-team-details-2022-08-29-878489'],['https://t.co/uDdEV9ctvk'],TweetDeck,0,0,0.29050943
2022-08-29 15:58:00+00:00,1564281218967171072,"अफगानिस्तान ने अपने पहले मुकाबले में श्रीलंका को 8 विकेट से हराकर विजयी आगाज किया था
#Afghanistan #Bangladesh #AsiaCup2022 #LiveStreaming #AFGvsBAN 
https://t.co/z9oLxHpMG4",https://twitter.com/IndiaTVHindi/status/1564281218967171072,"अफगानिस्तान ने अपने पहले मुकाबले में श्रीलंका को 8 विकेट से हराकर विजयी आगाज किया था
#Afghanistan #Bangladesh #AsiaCup2022 #LiveStreaming #AFGvsBAN 
indiatv.in/sports/cricket…",IndiaTVHindi,90515,0,0,1,0,hi,1564281218967171072,['https://www.indiatv.in/sports/cricket/asia-cup-2022-afg-vs-ban-live-streaming-afghanistan-v-bangladesh-match-updates-squads-team-details-2022-08-29-878489'],,,,,,,,,"['Afghanistan', 'Bangladesh', 'AsiaCup2022', 'LiveStreaming', 'AFGvsBAN']",,,['https://www.indiatv.in/sports/cricket/asia-cup-2022-afg-vs-ban-live-streaming-afghanistan-v-bangladesh-match-updates-squads-team-details-2022-08-29-878489'],['https://t.co/z9oLxHpMG4'],TweetDeck,0,1,0.67646563
2022-08-29 15:26:15+00:00,1564273229052911616,"was waiting for #AFGvsBAN , thought match aaj hai fml",https://twitter.com/kyayaarnaman/status/1564273229052911616,"was waiting for #AFGvsBAN , thought match aaj hai fml",kyayaarnaman,297,2,0,1,0,en,1564273229052911616,,,,,,,,,,['AFGvsBAN'],,,,,Twitter Web App,0,1,0.9978105
2022-08-29 13:46:51+00:00,1564248213388918787,Bangladesh vs Afghanistan Live Streaming Details: Where to Watch Match #banvsafglive #BANvsAFG #AFGvsBAN #livestreaming #Wheretowatchmatch https://t.co/lIwOG8lr4f,https://twitter.com/pankajkrmahto/status/1564248213388918787,Bangladesh vs Afghanistan Live Streaming Details: Where to Watch Match #banvsafglive #BANvsAFG #AFGvsBAN #livestreaming #Wheretowatchmatch thepipl.com/bangladesh-vs-…,pankajkrmahto,103,0,0,0,0,en,1564248213388918787,['https://thepipl.com/bangladesh-vs-afghanistan-live-streaming-details-where-to-watch-match/'],,,,,,,,,"['banvsafglive', 'BANvsAFG', 'AFGvsBAN', 'livestreaming', 'Wheretowatchmatch']",,,['https://thepipl.com/bangladesh-vs-afghanistan-live-streaming-details-where-to-watch-match/'],['https://t.co/lIwOG8lr4f'],WordPress.com,0,0,0.29919884
