date,user_id,text,url,renderedContent,user_name,user_followers,replyCount,retweet-count,likeCount,quoteCount,lang,conversationId,outlinks,source,is_retweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,user_location,hashtags,cashtags,mentionedUsers.1,outlinks.1,tcooutlinks,sourceLabel,Sarcasm,Sentiment,Polarity
2022-05-10 23:56:02+00:00,1524176470071037957,"I quit 👍

#AamirLiaquatHussain https://t.co/eHfmO27WPd",https://twitter.com/AdnanCh67/status/1524176470071037957,"I quit 👍

#AamirLiaquatHussain https://t.co/eHfmO27WPd",AdnanCh67,5,2,1,1,0,en,1524176470071037957,,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1524176433605664769/pu/img/FHSaoFG_sRjuQB2i.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1524176433605664769/pu/pl/FL0R9RUwrVHCuNci.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1524176433605664769/pu/vid/240x426/fz2px88Hx6anTgyL.mp4?tag=12', bitrate=632000)], duration=4.481, views=None)]",,,,,,,,['AamirLiaquatHussain'],,,,,Twitter for Android,0,0,0.06860843
2022-05-10 23:55:56+00:00,1524176444238278657,"In sordid #AamirLiaquatHussain affair, #SyedaDaniaShah need to be supported &amp; provided security by the govt. 
Poor young girl was used &amp; abused by this monster, thru his fame, power &amp; wealth. 
Attempts to damage control situation thru her character assassination is pathetic. 😠",https://twitter.com/ashirazeemgill/status/1524176444238278657,"In sordid #AamirLiaquatHussain affair, #SyedaDaniaShah need to be supported &amp; provided security by the govt. 
Poor young girl was used &amp; abused by this monster, thru his fame, power &amp; wealth. 
Attempts to damage control situation thru her character assassination is pathetic. 😠",ashirazeemgill,66816,21,34,208,2,en,1524176444238278657,,,,,,,,,,"['AamirLiaquatHussain', 'SyedaDaniaShah']",,,,,Twitter for Android,0,0,0.00012424588
2022-05-10 23:54:53+00:00,1524176176809455616,@fatimabashir211 @AamirLiaquat There was a time when his leaked video was “aap nay ghalib film dekhi hy” Orr aaj ki videos tak ka iska safar. Al amaan Al hafeez.,https://twitter.com/NUK2819/status/1524176176809455616,@fatimabashir211 @AamirLiaquat There was a time when his leaked video was “aap nay ghalib film dekhi hy” Orr aaj ki videos tak ka iska safar. Al amaan Al hafeez.,NUK2819,0,0,0,0,0,en,1524095335194320898,,,,,1.524095335194321e+18,https://twitter.com/fatimabashir211,"[User(username='fatimabashir211', id=3276595416, displayname='F🏏', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='AamirLiaquat', id=2177139587, displayname='Aamir Liaquat Husain', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='fatimabashir211', id=3276595416, displayname='F🏏', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='AamirLiaquat', id=2177139587, displayname='Aamir Liaquat Husain', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for iPhone,0,0,0.00042530894
2022-05-10 23:53:46+00:00,1524175896768299008,"I quit 👍

#AamirLiaquatHussain https://t.co/zI7iwY38py",https://twitter.com/AdnanCh67/status/1524175896768299008,"I quit 👍

#AamirLiaquatHussain https://t.co/zI7iwY38py",AdnanCh67,5,0,0,0,0,en,1524175896768299008,,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1524175871338323968/pu/img/76hQIdCdbgqcw_Cq.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1524175871338323968/pu/vid/240x426/gAroUPcWADZbyN8i.mp4?tag=12', bitrate=632000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1524175871338323968/pu/pl/etLMWgbyA_P1X778.m3u8?tag=12&container=fmp4', bitrate=None)], duration=4.481, views=480)]",,,,,,,,['AamirLiaquatHussain'],,,,,Twitter for Android,0,0,0.07206243
2022-05-10 23:51:26+00:00,1524175311365193728,@almirPTI @syedadaniamir @AamirLiaquat Allah nay kaisay bay naqab kiya zilat di,https://twitter.com/maahii007/status/1524175311365193728,@almirPTI @syedadaniamir @AamirLiaquat Allah nay kaisay bay naqab kiya zilat di,maahii007,2,1,0,1,0,hi,1523901991277236227,,,,,1.5239019912772362e+18,https://twitter.com/almirPTI,"[User(username='almirPTI', id=875434396634857472, displayname='المیر وجدان', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='syedadaniamir', id=1368897913, displayname='Syeda Dania Shah', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='AamirLiaquat', id=2177139587, displayname='Aamir Liaquat Husain', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='almirPTI', id=875434396634857472, displayname='المیر وجدان', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='syedadaniamir', id=1368897913, displayname='Syeda Dania Shah', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='AamirLiaquat', id=2177139587, displayname='Aamir Liaquat Husain', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for iPhone,0,1,0.9923009
2022-05-10 23:50:21+00:00,1524175039767142401,@ItsFSW @AamirLiaquat Wah farrukh aaj chwal maar di a,https://twitter.com/Mavi_khan_Swati/status/1524175039767142401,@ItsFSW @AamirLiaquat Wah farrukh aaj chwal maar di a,Mavi_khan_Swati,5,0,0,0,0,hi,1523656248851578882,,,,,1.523656248851579e+18,https://twitter.com/ItsFSW,"[User(username='ItsFSW', id=772917984, displayname='Farrukh Shahbaz Warraich', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='AamirLiaquat', id=2177139587, displayname='Aamir Liaquat Husain', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='ItsFSW', id=772917984, displayname='Farrukh Shahbaz Warraich', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='AamirLiaquat', id=2177139587, displayname='Aamir Liaquat Husain', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android,0,0,0.044094592
2022-05-10 23:50:11+00:00,1524174996255522817,#AamirLiaquatHussain Every Pakistani right Now 😂 https://t.co/Hwxyx74jLI,https://twitter.com/alemekael/status/1524174996255522817,#AamirLiaquatHussain Every Pakistani right Now 😂 https://t.co/Hwxyx74jLI,alemekael,1052,0,9,35,1,en,1524174996255522817,,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1524136701521797124/pu/img/9M-JB1M81h3-j0i_.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1524136701521797124/pu/vid/640x362/RwCpN9iXd8rTFXCD.mp4?tag=12', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1524136701521797124/pu/vid/476x270/B5SpEYssBGNcEkxt.mp4?tag=12', bitrate=256000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1524136701521797124/pu/pl/_9C97Qsx_S0gyWFx.m3u8?tag=12&container=fmp4', bitrate=None)], duration=20.108, views=88173)]",,,,,,,,['AamirLiaquatHussain'],,,,,Twitter for Android,0,1,0.99837625
2022-05-10 23:48:40+00:00,1524174614217334785,"Drug and alcohol abuse can change a person’s behavior and personality in ways that almost make them seem like an entirely different person. 
#AamirLiaquatHussain https://t.co/0gp287lJ1I",https://twitter.com/alemekael/status/1524174614217334785,"Drug and alcohol abuse can change a person’s behavior and personality in ways that almost make them seem like an entirely different person. 
#AamirLiaquatHussain https://t.co/0gp287lJ1I",alemekael,1052,0,2,7,0,en,1524174614217334785,,"[Photo(previewUrl='https://pbs.twimg.com/media/FSa-TbOXIAIQdYv?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FSa-TbOXIAIQdYv?format=jpg&name=large')]",,,,,,,,['AamirLiaquatHussain'],,,,,Twitter for Android,0,1,0.9616397
2022-05-10 23:48:00+00:00,1524174446898069505,"Waise agar leak video  #AamirLiaquatHussain ki hi hai tu phir ye b #NawazSharif hai ! 
@ImranRiazFan
#امپورٹڈ__حکومت__نامنظور
Note: We can't decide about the originality of a video. https://t.co/1KhpuAp861",https://twitter.com/iSaaniaKhan/status/1524174446898069505,"Waise agar leak video  #AamirLiaquatHussain ki hi hai tu phir ye b #NawazSharif hai ! 
@ImranRiazFan
#امپورٹڈ__حکومت__نامنظور
Note: We can't decide about the originality of a video. https://t.co/1KhpuAp861",iSaaniaKhan,1450,2,0,7,0,en,1524174446898069505,,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1524119872602583041/pu/img/p7tzUowM85wNhCtQ.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1524119872602583041/pu/pl/kVBG-afKc16u9Qqh.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1524119872602583041/pu/vid/424x330/IHm3HPQmvLzcpNhY.mp4?tag=12', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1524119872602583041/pu/vid/346x270/akHhav9e56Q2PSDs.mp4?tag=12', bitrate=256000)], duration=15.092, views=73819)]",,,,,"[User(username='ImranRiazFan', id=1162272062158692352, displayname='Imran Khan', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,"['AamirLiaquatHussain', 'NawazSharif', 'امپورٹڈ__حکومت__نامنظور']",,"[User(username='ImranRiazFan', id=1162272062158692352, displayname='Imran Khan', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android,0,0,0.00015214086
2022-05-10 23:47:31+00:00,1524174324516769793,ye paida he zaleel hony k lye hva hai #AamirLiaquatHussain https://t.co/G8DaQR7W6L,https://twitter.com/Saadabiwaqas03/status/1524174324516769793,ye paida he zaleel hony k lye hva hai #AamirLiaquatHussain https://t.co/G8DaQR7W6L,Saadabiwaqas03,8,0,0,1,0,hi,1524174324516769793,,"[Photo(previewUrl='https://pbs.twimg.com/media/FSb0eGEWYAAKnUF?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FSb0eGEWYAAKnUF?format=jpg&name=large')]",,,,,,,,['AamirLiaquatHussain'],,,,,Twitter for Android,0,0,0.00049325824
