date,user_id,text,url,renderedContent,user_name,user_followers,replyCount,retweet-count,likeCount,quoteCount,lang,conversationId,outlinks,source,is_retweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,user_location,hashtags,cashtags,mentionedUsers.1,outlinks.1,tcooutlinks,sourceLabel,Sarcasm
2022-06-01 23:59:34+00:00,1532149891438452738,"La mas Relevante! Johnny Depp, Amber Heard trial verdict  - CNN https://t.co/weZszkUCoz, see more https://t.co/Iy4UHJt6oM",https://twitter.com/IMAAC_MARKETING/status/1532149891438452738,"La mas Relevante! Johnny Depp, Amber Heard trial verdict  - CNN edition.cnn.com/2022/06/01/ent…, see more tweetedtimes.com/IMAAC_MARKETIN…",IMAAC_MARKETING,407,0,1,1,0,en,1532149891438452738,"['https://edition.cnn.com/2022/06/01/entertainment/johnny-depp-amber-heard-verdict', 'https://tweetedtimes.com/IMAAC_MARKETING?s=tnp']",,,,,,,,,,,,"['https://edition.cnn.com/2022/06/01/entertainment/johnny-depp-amber-heard-verdict', 'https://tweetedtimes.com/IMAAC_MARKETING?s=tnp']","['https://t.co/weZszkUCoz', 'https://t.co/Iy4UHJt6oM']",The Tweeted Times,1
2022-06-01 23:59:34+00:00,1532149891341885442,Johnny Depp Jury Finds That Amber Heard Defamed Him in Op-Ed https://t.co/fexKbbk212,https://twitter.com/CrediblePost/status/1532149891341885442,Johnny Depp Jury Finds That Amber Heard Defamed Him in Op-Ed crediblenewspost.com/johnny-depp-ju…,CrediblePost,0,0,0,0,0,en,1532149891341885442,['https://crediblenewspost.com/johnny-depp-jury-finds-that-amber-heard-defamed-him-in-op-ed/'],,,,,,,,,,,,['https://crediblenewspost.com/johnny-depp-jury-finds-that-amber-heard-defamed-him-in-op-ed/'],['https://t.co/fexKbbk212'],WordPress.com,1
2022-06-01 23:59:34+00:00,1532149889966166023,"O Brasil tá uma merda, todo mundo tomando no cu e a porra do presidente desse circo tá no twitter comentando sobre Depp e Amber. VAI PRA PUTA QUE TE PARIU BOLSONARO!!",https://twitter.com/KariiErhard/status/1532149889966166023,"O Brasil tá uma merda, todo mundo tomando no cu e a porra do presidente desse circo tá no twitter comentando sobre Depp e Amber. VAI PRA PUTA QUE TE PARIU BOLSONARO!!",KariiErhard,567,0,0,0,0,pt,1532149889966166023,,,,,,,,,,,,,,,Twitter for iPhone,1
2022-06-01 23:59:33+00:00,1532149886367547399,#TheKINGEKShow 👑🎙 https://t.co/n4JXl5F4tx,https://twitter.com/IAmKingEK/status/1532149886367547399,#TheKINGEKShow 👑🎙 twitter.com/i/spaces/1OwxW…,IAmKingEK,1288,0,1,2,0,und,1532149886367547399,['https://twitter.com/i/spaces/1OwxWzdgXzmJQ'],,,,,,,,,['TheKINGEKShow'],,,['https://twitter.com/i/spaces/1OwxWzdgXzmJQ'],['https://t.co/n4JXl5F4tx'],Twitter for iPhone,1
2022-06-01 23:59:31+00:00,1532149877769117697,"@1800EnoughLies @onosowobo That is the door Johnny always walk out of. He was clearly turned towards his lawyer chatting and when turns back forward, that guard is blocking his view of Amber. They hold him back indicating Amber is still there, JD makes the “oops sorry” shoulder move. AND says “sorry”",https://twitter.com/Temistandsred/status/1532149877769117697,"@1800EnoughLies @onosowobo That is the door Johnny always walk out of. He was clearly turned towards his lawyer chatting and when turns back forward, that guard is blocking his view of Amber. They hold him back indicating Amber is still there, JD makes the “oops sorry” shoulder move. AND says “sorry”",Temistandsred,104,0,0,4,0,en,1532137564194357251,,,,,1.5321435828400947e+18,https://twitter.com/1800EnoughLies,"[User(username='1800EnoughLies', id=1522362562037256192, displayname='This is a Political Amber Heard stan acc', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='onosowobo', id=1922875165, displayname='Dami', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='1800EnoughLies', id=1522362562037256192, displayname='This is a Political Amber Heard stan acc', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='onosowobo', id=1922875165, displayname='Dami', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for iPhone,1
2022-06-01 23:59:30+00:00,1532149871922356225,@Jemima_Khan Wouls you have wished the same if Amber Heard would have won?,https://twitter.com/ammarahmad95/status/1532149871922356225,@Jemima_Khan Wouls you have wished the same if Amber Heard would have won?,ammarahmad95,31,0,0,0,0,en,1532099154834599937,,,,,1.5320991548346e+18,https://twitter.com/Jemima_Khan,"[User(username='Jemima_Khan', id=94628304, displayname='Jemima Goldsmith', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='Jemima_Khan', id=94628304, displayname='Jemima Goldsmith', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android,1
2022-06-01 23:59:30+00:00,1532149871859224577,"I believe Evan Rachel Wood. I believe Johnny Depp. You can believe both of them, and still think Marilyn Manson is a piece of shit who abuses and rapes women. 

Amber Heard has been rightfully punished. She has a history of domestic violence, of manipulation, of cheating.",https://twitter.com/WhitStap/status/1532149871859224577,"I believe Evan Rachel Wood. I believe Johnny Depp. You can believe both of them, and still think Marilyn Manson is a piece of shit who abuses and rapes women. 

Amber Heard has been rightfully punished. She has a history of domestic violence, of manipulation, of cheating.",WhitStap,202,2,0,4,0,en,1532149871859224577,,,,,,,,,,,,,,,Twitter for iPhone,1
2022-06-01 23:59:06+00:00,1532149774731862016,"@Eteniaamor @KyDUIGuy Waldman's statement was about one specific allegation (Amber and friends trashing the flat and blaming Johnny) 
The fact Johnny won all three of his claims shows the jury completely rejected Amber's abuse claims, so they still could find that one statement defamatory",https://twitter.com/beltanebaby/status/1532149774731862016,"@Eteniaamor @KyDUIGuy Waldman's statement was about one specific allegation (Amber and friends trashing the flat and blaming Johnny) 
The fact Johnny won all three of his claims shows the jury completely rejected Amber's abuse claims, so they still could find that one statement defamatory",beltanebaby,179,0,0,2,0,en,1532083803346419714,,,,,1.5320892745977897e+18,https://twitter.com/Eteniaamor,"[User(username='Eteniaamor', id=1515064433051115527, displayname='Etenia', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='KyDUIGuy', id=377075561, displayname='The DUI Guy+', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='Eteniaamor', id=1515064433051115527, displayname='Etenia', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='KyDUIGuy', id=377075561, displayname='The DUI Guy+', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter Web App,1
2022-06-01 23:59:06+00:00,1532149771175174145,amber heard was heard. and she’s a liar. everyone can calm down.,https://twitter.com/hotandbravoed/status/1532149771175174145,amber heard was heard. and she’s a liar. everyone can calm down.,hotandbravoed,3200,0,0,2,0,en,1532149771175174145,,,,,,,,,,,,,,,Twitter for iPhone,1
2022-06-01 23:59:05+00:00,1532149770441179140,@AsraNomani @TimJGraham @washingtonpost @PostOpinions @RuthMarcus @Michaellarabee @ACLU Hmmm. For the US standard for libel the decision does seem overly hash against Amber,https://twitter.com/RyanDevan0/status/1532149770441179140,@AsraNomani @TimJGraham @washingtonpost @PostOpinions @RuthMarcus @Michaellarabee @ACLU Hmmm. For the US standard for libel the decision does seem overly hash against Amber,RyanDevan0,66,1,0,0,0,en,1532144728480808960,,,,,1.532144728480809e+18,https://twitter.com/AsraNomani,"[User(username='AsraNomani', id=45617221, displayname='Asra Q. Nomani 🐾', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='TimJGraham', id=22033805, displayname='Tim Graham', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='washingtonpost', id=2467791, displayname='The Washington Post', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='PostOpinions', id=14345812, displayname='Washington Post Opinions', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RuthMarcus', id=21148783, displayname='Ruth Marcus', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Michaellarabee', id=182543291, displayname='Michael Larabee', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ACLU', id=13393052, displayname='ACLU', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='AsraNomani', id=45617221, displayname='Asra Q. Nomani 🐾', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='TimJGraham', id=22033805, displayname='Tim Graham', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='washingtonpost', id=2467791, displayname='The Washington Post', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='PostOpinions', id=14345812, displayname='Washington Post Opinions', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RuthMarcus', id=21148783, displayname='Ruth Marcus', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Michaellarabee', id=182543291, displayname='Michael Larabee', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ACLU', id=13393052, displayname='ACLU', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for iPhone,1
