date,user_id,text,url,renderedContent,user_name,user_followers,replyCount,retweet-count,likeCount,quoteCount,lang,conversationId,outlinks,source,is_retweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,user_location,hashtags,cashtags,mentionedUsers.1,outlinks.1,tcooutlinks,sourceLabel,Sarcasm
2022-06-01 23:59:16+00:00,1532149815194185728,"@SquadronRebel @JDredd2022 Johnny Depp Agent of #TheGreatReset.....'Imma really good guy' 🤣

https://t.co/S71lAPFC06",https://twitter.com/RevengeBunny/status/1532149815194185728,"@SquadronRebel @JDredd2022 Johnny Depp Agent of #TheGreatReset.....'Imma really good guy' 🤣

youtu.be/Njg-rlq5zLY",RevengeBunny,5520,0,0,0,0,en,1532133505769127936,['https://youtu.be/Njg-rlq5zLY'],,,,1.5321482371796828e+18,https://twitter.com/SquadronRebel,"[User(username='SquadronRebel', id=1283311544017850373, displayname='Rebel Squadron', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='JDredd2022', id=1519469658566324224, displayname='J Dredd', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,['TheGreatReset'],,"[User(username='SquadronRebel', id=1283311544017850373, displayname='Rebel Squadron', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='JDredd2022', id=1519469658566324224, displayname='J Dredd', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",['https://youtu.be/Njg-rlq5zLY'],['https://t.co/S71lAPFC06'],Twitter Web App,1
2022-06-01 23:59:15+00:00,1532149812212158469,I cannot express to you how much my quality of life has improved by muting Johnny Depp and Amber Heard,https://twitter.com/huey2k2/status/1532149812212158469,I cannot express to you how much my quality of life has improved by muting Johnny Depp and Amber Heard,huey2k2,49,0,0,0,0,en,1532149812212158469,,,,,,,,,,,,,,,Twitter Web App,1
2022-06-01 23:59:14+00:00,1532149807334268929,"Ajajajajajajs la abogada de Johnny Depp, me dió mucha risa https://t.co/T57djkccnC",https://twitter.com/alejandrac91/status/1532149807334268929,"Ajajajajajajs la abogada de Johnny Depp, me dió mucha risa twitter.com/tinacoopworld/…",alejandrac91,249,0,0,0,0,es,1532149807334268929,['https://twitter.com/tinacoopworld/status/1532116379075239940'],,,https://twitter.com/TinaCoopworld/status/1532116379075239940,,,,,,,,,['https://twitter.com/tinacoopworld/status/1532116379075239940'],['https://t.co/T57djkccnC'],Twitter for iPhone,1
2022-06-01 23:59:14+00:00,1532149807032451072,"Johnny Depp was set free from the nightmare of the past 6 years today, June 1st, National Narcissist Abuse Awareness Day. In his statement posted to his Instagram, he said ""I am at peace.""

#JohnnyDeppIsInnocent
#JusticeForJohnnyDeppIsServed
#JusticeForJohnnyDepp",https://twitter.com/itsloureine/status/1532149807032451072,"Johnny Depp was set free from the nightmare of the past 6 years today, June 1st, National Narcissist Abuse Awareness Day. In his statement posted to his Instagram, he said ""I am at peace.""

#JohnnyDeppIsInnocent
#JusticeForJohnnyDeppIsServed
#JusticeForJohnnyDepp",itsloureine,248,0,0,7,0,en,1532149807032451072,,,,,,,,,,"['JohnnyDeppIsInnocent', 'JusticeForJohnnyDeppIsServed', 'JusticeForJohnnyDepp']",,,,,Twitter for iPhone,1
2022-06-01 23:59:14+00:00,1532149806768041985,"Mood: 
#JusticeForJohhnyDepp #JohnnyDepp https://t.co/f3cJwkt3Kc",https://twitter.com/Boss_jimenezzz/status/1532149806768041985,"Mood: 
#JusticeForJohhnyDepp #JohnnyDepp https://t.co/f3cJwkt3Kc",Boss_jimenezzz,56,0,0,0,0,en,1532149806768041985,,"[Photo(previewUrl='https://pbs.twimg.com/media/FUNKISvWAAATQmY?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FUNKISvWAAATQmY?format=jpg&name=large')]",,,,,,,,"['JusticeForJohhnyDepp', 'JohnnyDepp']",,,,,Twitter for Android,1
2022-06-01 23:59:13+00:00,1532149802187870209,"It cost $15M to 💩 in someone’s 🛏 
#JohnnyDepp #AmberHeard #JohnnyDeppVerdict #deppvsheardtrial #JusticeForJohhnyDepp",https://twitter.com/ashesh_as69/status/1532149802187870209,"It cost $15M to 💩 in someone’s 🛏 
#JohnnyDepp #AmberHeard #JohnnyDeppVerdict #deppvsheardtrial #JusticeForJohhnyDepp",ashesh_as69,14,0,0,0,0,en,1532149802187870209,,,,,,,,,,"['JohnnyDepp', 'AmberHeard', 'JohnnyDeppVerdict', 'deppvsheardtrial', 'JusticeForJohhnyDepp']",,,,,Twitter for iPhone,1
2022-06-01 23:59:13+00:00,1532149800447131649,A sorte do Johnny Depp é que nos EUA não tem um STF,https://twitter.com/oiIuiz/status/1532149800447131649,A sorte do Johnny Depp é que nos EUA não tem um STF,oiIuiz,286275,147,1423,15880,48,pt,1532149800447131649,,,,,,,,,,,,,,,Twitter for Android,1
2022-06-01 23:59:12+00:00,1532149796584230915,I thought Johnny depp was gonna get 100 mil on this case… They just wasted everyone’s time over $15 mil? Justice has been denied. Tell me I’m wrong 🙎🏼‍♀️,https://twitter.com/JulianFairbanks/status/1532149796584230915,I thought Johnny depp was gonna get 100 mil on this case… They just wasted everyone’s time over $15 mil? Justice has been denied. Tell me I’m wrong 🙎🏼‍♀️,JulianFairbanks,974,0,0,0,0,en,1532149796584230915,,,,,,,,,,,,,,,Twitter Web App,1
2022-06-01 23:59:11+00:00,1532149792901431297,"🌐🔲🌐 #DeppVsHeard 🌐🔲🌐

CONGRATULATIONS JOHNNY 
Johnny Depp was Defamed. 

#JohnnyDeppVsAmberHeard 
#JohnnyDepp #AmberHeard https://t.co/jlsh4RryDR",https://twitter.com/JECallaghan1/status/1532149792901431297,"🌐🔲🌐 #DeppVsHeard 🌐🔲🌐

CONGRATULATIONS JOHNNY 
Johnny Depp was Defamed. 

#JohnnyDeppVsAmberHeard 
#JohnnyDepp #AmberHeard twitter.com/washingtonpost…",JECallaghan1,1885,0,0,1,0,en,1532149792901431297,['https://twitter.com/washingtonpost/status/1532144558083022848'],,,https://twitter.com/washingtonpost/status/1532144558083022848,,,,,,"['DeppVsHeard', 'JohnnyDeppVsAmberHeard', 'JohnnyDepp', 'AmberHeard']",,,['https://twitter.com/washingtonpost/status/1532144558083022848'],['https://t.co/jlsh4RryDR'],Twitter Web App,1
2022-06-01 23:59:10+00:00,1532149789269409793,"@AnnOlivarius @JulieSLalonde @karachiiite She only cut his finger off and bought him a knife for his birthday. I truly believe her plan was to kill him and claim self defence.  

Johnny Depp was a luck man to escape that evil woman.",https://twitter.com/EastCoast_news/status/1532149789269409793,"@AnnOlivarius @JulieSLalonde @karachiiite She only cut his finger off and bought him a knife for his birthday. I truly believe her plan was to kill him and claim self defence.  

Johnny Depp was a luck man to escape that evil woman.",EastCoast_news,3,0,0,1,0,en,1532098780241305603,,,,,1.532112826520699e+18,https://twitter.com/AnnOlivarius,"[User(username='AnnOlivarius', id=1243503134, displayname='Dr. Ann Olivarius', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='JulieSLalonde', id=258135801, displayname='Julie S. Lalonde', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='karachiiite', id=994181600, displayname='Iman Sultan', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='AnnOlivarius', id=1243503134, displayname='Dr. Ann Olivarius', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='JulieSLalonde', id=258135801, displayname='Julie S. Lalonde', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='karachiiite', id=994181600, displayname='Iman Sultan', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android,1
