date,user_id,text,url,renderedContent,user_name,user_followers,replyCount,retweet-count,likeCount,quoteCount,lang,conversationId,outlinks,source,is_retweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,user_location,hashtags,cashtags,mentionedUsers.1,outlinks.1,tcooutlinks,sourceLabel,Sarcasm,Sentiment,Polarity
2022-06-28 23:59:52+00:00,1541934438799532034,Or sunao mobile phone charged hn ??? #loadshedding,https://twitter.com/jarralsara4/status/1541934438799532034,Or sunao mobile phone charged hn ??? #loadshedding,jarralsara4,8,0,0,5,0,en,1541934438799532034,,,,,,,,,,['loadshedding'],,,,,Twitter for Android,0,0,0.3433078
2022-06-28 23:59:42+00:00,1541934397041119233,@GepcoTeam4 bus light na dain system update ki bakwas sunaty rahna subha say sham tuk light ki loadshedding ki haramzadgi aur sari rat say subha tu tehsil sambrial na ho gai koi cholastan ka sahra ho gaya shame on u,https://twitter.com/waqas7420130/status/1541934397041119233,@GepcoTeam4 bus light na dain system update ki bakwas sunaty rahna subha say sham tuk light ki loadshedding ki haramzadgi aur sari rat say subha tu tehsil sambrial na ho gai koi cholastan ka sahra ho gaya shame on u,waqas7420130,10,0,0,0,0,in,1541934397041119233,,,,,,,"[User(username='GepcoTeam4', id=1535914114630963201, displayname='GEPCO TEAM 4 (Sialkot Circle)', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='GepcoTeam4', id=1535914114630963201, displayname='GEPCO TEAM 4 (Sialkot Circle)', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for iPhone,0,1,0.98250234
2022-06-28 23:58:03+00:00,1541933982757306368,"کراچی کی ایک آواز 
#Loadshedding https://t.co/YK5Ehl0p54",https://twitter.com/emzaidi/status/1541933982757306368,"کراچی کی ایک آواز 
#Loadshedding https://t.co/YK5Ehl0p54",emzaidi,150,0,1,2,0,ur,1541933982757306368,,"[Photo(previewUrl='https://pbs.twimg.com/media/FWYMySwXoAQu_7v?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FWYMySwXoAQu_7v?format=jpg&name=large')]",,,,,,,,['Loadshedding'],,,,,Twitter for Android,0,0,0.24797377
2022-06-28 23:57:35+00:00,1541933862263361536,"ایسا تجربہ بتی بنالو
#Loadshedding https://t.co/EodvRortVM",https://twitter.com/emzaidi/status/1541933862263361536,"ایسا تجربہ بتی بنالو
#Loadshedding https://t.co/EodvRortVM",emzaidi,150,0,0,0,0,ur,1541933862263361536,,"[Photo(previewUrl='https://pbs.twimg.com/media/FWYMrOkXEAAp-vd?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FWYMrOkXEAAp-vd?format=jpg&name=large')]",,,,,,,,['Loadshedding'],,,,,Twitter for Android,0,0,0.0001013407
2022-06-28 23:57:15+00:00,1541933780126302209,"#RegimeChangeInPakistan
 عوام سے بدلا لینے کیلئے تھا  
#Loadshedding",https://twitter.com/emzaidi/status/1541933780126302209,"#RegimeChangeInPakistan
 عوام سے بدلا لینے کیلئے تھا  
#Loadshedding",emzaidi,150,0,0,1,0,ur,1541933780126302209,,,,,,,,,,"['RegimeChangeInPakistan', 'Loadshedding']",,,,,Twitter for Android,0,0,0.0010970831
2022-06-28 23:56:42+00:00,1541933642766815232,The original loadshedding used to be 4 hours 🙃 https://t.co/zan7VdrUlZ,https://twitter.com/Ron_Da_Don_II/status/1541933642766815232,The original loadshedding used to be 4 hours 🙃 twitter.com/Tumi213/status…,Ron_Da_Don_II,2361,0,0,0,0,en,1541933642766815232,['https://twitter.com/Tumi213/status/1541705672345141249'],,,https://twitter.com/Tumi213/status/1541705672345141249,,,,,,,,,['https://twitter.com/Tumi213/status/1541705672345141249'],['https://t.co/zan7VdrUlZ'],Twitter for Android,0,1,0.8666957
2022-06-28 23:56:24+00:00,1541933565000163328,"ایک سادہ سی مثال ہے اگر کسی کی نسلیں تباہ کرنی ہیں تو اس قوم کے مردوں کو بے روزگار کردو لعنت ہے ان لوگوں پر جہنوں نے اپنے زاتی مقصد کے لئے غریبوں کے روزگار کے زرائع بند کر دیے ہیں.
#امپورٹرڈ_حکومت_نامنظور
#امپورٹڈ_مہنگائی_نامنظور
#نااہل_کرپٹ_غلام_حکومت
#Loadshedding",https://twitter.com/iamsultanramzan/status/1541933565000163328,"ایک سادہ سی مثال ہے اگر کسی کی نسلیں تباہ کرنی ہیں تو اس قوم کے مردوں کو بے روزگار کردو لعنت ہے ان لوگوں پر جہنوں نے اپنے زاتی مقصد کے لئے غریبوں کے روزگار کے زرائع بند کر دیے ہیں.
#امپورٹرڈ_حکومت_نامنظور
#امپورٹڈ_مہنگائی_نامنظور
#نااہل_کرپٹ_غلام_حکومت
#Loadshedding",iamsultanramzan,191,0,0,0,0,ur,1541933565000163328,,,,,,,,"Coordinates(longitude=69.328873, latitude=27.708226)","Place(fullName='Punjab, Pakistan', name='Punjab', type='admin', country='Pakistan', countryCode='PK')","['امپورٹرڈ_حکومت_نامنظور', 'امپورٹڈ_مہنگائی_نامنظور', 'نااہل_کرپٹ_غلام_حکومت', 'Loadshedding']",,,,,Twitter for Android,0,1,0.9978018
2022-06-28 23:56:10+00:00,1541933508935012353,"If we could sell all your iPhones ,loadshedding will end 🤞",https://twitter.com/khani_hlahla/status/1541933508935012353,"If we could sell all your iPhones ,loadshedding will end 🤞",khani_hlahla,10473,0,0,0,0,en,1541933508935012353,,,,,,,,"Coordinates(longitude=27.7947598, latitude=-26.3054355)","Place(fullName='Soweto, South Africa', name='Soweto', type='city', country='South Africa', countryCode='ZA')",,,,,,Twitter for Android,0,1,0.9984853
2022-06-28 23:56:02+00:00,1541933474235695105,"رات بھر جاگ کر صبح تین گھنٹے سو کر کام پر جانا گھر آؤ پھر بجلی نہیں ہوتی 
#Loadshedding",https://twitter.com/emzaidi/status/1541933474235695105,"رات بھر جاگ کر صبح تین گھنٹے سو کر کام پر جانا گھر آؤ پھر بجلی نہیں ہوتی 
#Loadshedding",emzaidi,150,0,0,1,0,ur,1541933474235695105,,,,,,,,,,['Loadshedding'],,,,,Twitter for Android,0,0,0.09687278
2022-06-28 23:55:53+00:00,1541933437627637761,they think generators are the solution to loadshedding,https://twitter.com/oratiIe/status/1541933437627637761,they think generators are the solution to loadshedding,oratiIe,1891,1,0,0,0,en,1541933437627637761,,,,,,,,,,,,,,,Twitter for Android,0,1,0.7720487
