date,user_id,text,url,renderedContent,user_name,user_followers,replyCount,retweet-count,likeCount,quoteCount,lang,conversationId,outlinks,source,is_retweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,user_location,hashtags,cashtags,mentionedUsers.1,outlinks.1,tcooutlinks,sourceLabel,Sarcasm,Sentiment,Polarity
2022-03-13 23:59:45+00:00,1503158905240973312,@ajitanjum 370 imran khan ne hataya 😁😁😁,https://twitter.com/Anitahanda4/status/1503158905240973312,@ajitanjum 370 imran khan ne hataya 😁😁😁,Anitahanda4,46,0,0,1,0,in,1502999921330327552,,,,,1.5029999213303276e+18,https://twitter.com/ajitanjum,"[User(username='ajitanjum', id=102646919, displayname='Ajit Anjum', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='ajitanjum', id=102646919, displayname='Ajit Anjum', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter Web App,0,0,0.0076982677
2022-03-13 23:59:36+00:00,1503158869551644674,@adeelraja @ImranKhanPTI I think Imran Khan is the third biggest true Leader of Pakistan after Quaid &amp; Bhutto👊,https://twitter.com/Mrnoone08686491/status/1503158869551644674,@adeelraja @ImranKhanPTI I think Imran Khan is the third biggest true Leader of Pakistan after Quaid &amp; Bhutto👊,Mrnoone08686491,14,0,0,0,0,en,1503063433402540041,,,,,1.50306343340254e+18,https://twitter.com/adeelraja,"[User(username='adeelraja', id=7733902, displayname='Adeel Raja', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ImranKhanPTI', id=122453931, displayname='Imran Khan', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='adeelraja', id=7733902, displayname='Adeel Raja', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ImranKhanPTI', id=122453931, displayname='Imran Khan', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android,0,1,0.99106264
2022-03-13 23:59:16+00:00,1503158787548585987,@atamalkaa71 I support Imran khan✌️from uk!!,https://twitter.com/Noorans34333691/status/1503158787548585987,@atamalkaa71 I support Imran khan✌️from uk!!,Noorans34333691,56,0,0,1,0,en,1502961410547937281,,,,,1.5029614105479373e+18,https://twitter.com/atamalkaa71,"[User(username='atamalkaa71', id=1146030195570348037, displayname='Sumairaa', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='atamalkaa71', id=1146030195570348037, displayname='Sumairaa', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android,0,0,0.00022044778
2022-03-13 23:59:08+00:00,1503158752593162241,A clip which shows public’s connection with PM Imran Khan! #میں_تمھارے_ساتھ_ہوں https://t.co/RPHIOGepVg,https://twitter.com/Raiskhanhk/status/1503158752593162241,A clip which shows public’s connection with PM Imran Khan! #میں_تمھارے_ساتھ_ہوں https://t.co/RPHIOGepVg,Raiskhanhk,162,0,0,0,0,en,1503158752593162241,,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1503158703369105413/pu/img/7JQ3fn-qU4pV_nF-.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1503158703369105413/pu/vid/778x360/kk-opl9I5uuSEIki.mp4?tag=12', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1503158703369105413/pu/vid/1280x592/J8OzxjIJev5atB91.mp4?tag=12', bitrate=2176000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1503158703369105413/pu/vid/582x270/bmd3JCGqMYo2ho__.mp4?tag=12', bitrate=256000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1503158703369105413/pu/pl/foZhAoG7m6wPoaXE.m3u8?tag=12&container=fmp4', bitrate=None)], duration=6.083, views=18)]",,,,,,,,['میں_تمھارے_ساتھ_ہوں'],,,,,Twitter for Android,0,1,0.9941849
2022-03-13 23:58:46+00:00,1503158658401812490,"Pakistan Prime Minister Imran Khan Says Could Have Responded To Indian Missile, Observed Restraint https://t.co/h9ofKygdEP",https://twitter.com/DHD_Latest_News/status/1503158658401812490,"Pakistan Prime Minister Imran Khan Says Could Have Responded To Indian Missile, Observed Restraint dhdlatestnews.com/pakistan-prime…",DHD_Latest_News,2,0,0,0,0,en,1503158658401812490,['https://dhdlatestnews.com/pakistan-prime-minister-imran-khan-says-could-have-responded-to-indian-missile-observed-restraint/'],,,,,,,,,,,,['https://dhdlatestnews.com/pakistan-prime-minister-imran-khan-says-could-have-responded-to-indian-missile-observed-restraint/'],['https://t.co/h9ofKygdEP'],WordPress.com,0,0,0.00016209483
2022-03-13 23:58:35+00:00,1503158614433071104,@AltafHussain_90 @ImranKhanPTI وزیراعظم عمران خان صاحب آپ نے کہا کہ الطاف  بہت بڑا قاتل دہشتگرد ہے برطانیہ  ڈرون حملا کرنے کی اجازت دے پاکستان میں  سیاسی مزہبی قوم پرست پارٹیوں میں الطاف  سے بڑے بڑے اصل غدار قاتل دہشتگرد موجود ہیں پہلے ان کے خلاف تو کاروائی کریں لندن تو دورہے الطاف پر تو جھوٹے الزامات ہے,https://twitter.com/RanaMuh41298894/status/1503158614433071104,@AltafHussain_90 @ImranKhanPTI وزیراعظم عمران خان صاحب آپ نے کہا کہ الطاف  بہت بڑا قاتل دہشتگرد ہے برطانیہ  ڈرون حملا کرنے کی اجازت دے پاکستان میں  سیاسی مزہبی قوم پرست پارٹیوں میں الطاف  سے بڑے بڑے اصل غدار قاتل دہشتگرد موجود ہیں پہلے ان کے خلاف تو کاروائی کریں لندن تو دورہے الطاف پر تو جھوٹے الزامات ہے,RanaMuh41298894,458,0,1,0,0,ur,1503137394299752451,,,,,1.5031373942997524e+18,https://twitter.com/AltafHussain_90,"[User(username='AltafHussain_90', id=1019210736348823552, displayname='Altaf Hussain', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ImranKhanPTI', id=122453931, displayname='Imran Khan', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='AltafHussain_90', id=1019210736348823552, displayname='Altaf Hussain', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ImranKhanPTI', id=122453931, displayname='Imran Khan', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android,0,0,0.4333253
2022-03-13 23:58:32+00:00,1503158603142004740,"#NewProfilePic
#IKBrand
#BehindYouSkipper 
@ImranKhanPTI https://t.co/fOjE5YOJl6",https://twitter.com/HaroonAzam99/status/1503158603142004740,"#NewProfilePic
#IKBrand
#BehindYouSkipper 
@ImranKhanPTI https://t.co/fOjE5YOJl6",HaroonAzam99,43,0,0,0,0,und,1503158603142004740,,"[Photo(previewUrl='https://pbs.twimg.com/media/FNxKyGyagAAL4Wp?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FNxKyGyagAAL4Wp?format=jpg&name=large')]",,,,,"[User(username='ImranKhanPTI', id=122453931, displayname='Imran Khan', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,"['NewProfilePic', 'IKBrand', 'BehindYouSkipper']",,"[User(username='ImranKhanPTI', id=122453931, displayname='Imran Khan', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android,0,0,0.068805814
2022-03-13 23:56:24+00:00,1503158065809526792,@PTI_Queen_ @ImranKhanPTI @OfficialShehr @SahibaEk @abeerachPTI @FarheenJaveed7 متفق علیہ,https://twitter.com/FaisalI46702158/status/1503158065809526792,@PTI_Queen_ @ImranKhanPTI @OfficialShehr @SahibaEk @abeerachPTI @FarheenJaveed7 متفق علیہ,FaisalI46702158,39,0,0,2,0,ur,1503156588978356228,,,,,1.5031565889783562e+18,https://twitter.com/PTI_Queen_,"[User(username='PTI_Queen_', id=1332184442484486144, displayname='Fatima Khan PTI', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ImranKhanPTI', id=122453931, displayname='Imran Khan', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='OfficialShehr', id=1327926495562526720, displayname='Shehr Bano Official', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='SahibaEk', id=1349756769271230469, displayname='BinaziR 🇵🇰 pti 🏏', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='abeerachPTI', id=1282905900198563841, displayname='Abeera ch PTI', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='FarheenJaveed7', id=1352254647998812166, displayname='Farheen sheikh PTI', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='PTI_Queen_', id=1332184442484486144, displayname='Fatima Khan PTI', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ImranKhanPTI', id=122453931, displayname='Imran Khan', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='OfficialShehr', id=1327926495562526720, displayname='Shehr Bano Official', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='SahibaEk', id=1349756769271230469, displayname='BinaziR 🇵🇰 pti 🏏', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='abeerachPTI', id=1282905900198563841, displayname='Abeera ch PTI', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='FarheenJaveed7', id=1352254647998812166, displayname='Farheen sheikh PTI', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android,0,1,0.9992865
2022-03-13 23:56:01+00:00,1503157965796552705,"@AltafHussain_90 That's the difference in leader n sessional politicians. I'm just surprised that how n what Imran Khan is delivering in his jalsa. The leaders always educate their followers wheras, Khan is not only spoiling his followers rather destroying the nations.",https://twitter.com/IrelandMqm/status/1503157965796552705,"@AltafHussain_90 That's the difference in leader n sessional politicians. I'm just surprised that how n what Imran Khan is delivering in his jalsa. The leaders always educate their followers wheras, Khan is not only spoiling his followers rather destroying the nations.",IrelandMqm,54,0,0,1,1,en,1503133306740740105,,,,,1.50313330674074e+18,https://twitter.com/AltafHussain_90,"[User(username='AltafHussain_90', id=1019210736348823552, displayname='Altaf Hussain', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='AltafHussain_90', id=1019210736348823552, displayname='Altaf Hussain', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android,0,1,0.75779986
2022-03-13 23:55:54+00:00,1503157938948435969,"@MoeedNj @YouTube America, india and Isreal have been badly defeated in Afghanistan after 20 years of loser war. they want to take revenge from Imran khan n Pakistan Army using Fazal ur Rahman ,zardari and sharif family.",https://twitter.com/FaqeerGilani/status/1503157938948435969,"@MoeedNj @YouTube America, india and Isreal have been badly defeated in Afghanistan after 20 years of loser war. they want to take revenge from Imran khan n Pakistan Army using Fazal ur Rahman ,zardari and sharif family.",FaqeerGilani,7,0,0,0,0,en,1503103276857835524,,,,,1.5031032768578355e+18,https://twitter.com/MoeedNj,"[User(username='MoeedNj', id=577459091, displayname='Moeed Pirzada', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='YouTube', id=10228272, displayname='YouTube', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='MoeedNj', id=577459091, displayname='Moeed Pirzada', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='YouTube', id=10228272, displayname='YouTube', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android,0,1,0.9239006
