date,user_id,text,url,renderedContent,user_name,user_followers,replyCount,retweet-count,likeCount,quoteCount,lang,conversationId,outlinks,source,is_retweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,user_location,hashtags,cashtags,mentionedUsers.1,outlinks.1,tcooutlinks,sourceLabel,Sarcasm
2022-03-18 18:11:53+00:00,1504883302863360001,"After all, why are we Pakhtuns being abused on a daily basis? 

#peshawarattack #peshawarblast #Peshawar #pakhtoon #Afghan #standwithpakhtoons https://t.co/H0WMuE08oM",https://twitter.com/MudassirBangesh/status/1504883302863360001,"After all, why are we Pakhtuns being abused on a daily basis? 

#peshawarattack #peshawarblast #Peshawar #pakhtoon #Afghan #standwithpakhtoons https://t.co/H0WMuE08oM",MudassirBangesh,25,0,0,0,0,en,1504883302863360001,,"[Photo(previewUrl='https://pbs.twimg.com/media/FOJrY3MWYAQ-E4e?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FOJrY3MWYAQ-E4e?format=jpg&name=large')]",,,,,,,,"['peshawarattack', 'peshawarblast', 'Peshawar', 'pakhtoon', 'Afghan', 'standwithpakhtoons']",,,,,Twitter for Android,1
2022-03-15 13:25:25+00:00,1503724048161083394,"@TheRealPCB Thank you lord Ganesha, for saving the @CricketAus team from the daily terrorist attacks in Pakistan like Peshawar bomb blasts on Sunnis
#IzlamicTerror
#islamicextremism 
#peshawarattack 
#ShiaKafir",https://twitter.com/NehaGup12439382/status/1503724048161083394,"@TheRealPCB Thank you lord Ganesha, for saving the @CricketAus team from the daily terrorist attacks in Pakistan like Peshawar bomb blasts on Sunnis
#IzlamicTerror
#islamicextremism 
#peshawarattack 
#ShiaKafir",NehaGup12439382,105,0,0,1,0,en,1503707098022092804,,,,,1.5037070980220928e+18,https://twitter.com/TheRealPCB,"[User(username='TheRealPCB', id=2420020489, displayname='Pakistan Cricket', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='CricketAus', id=2230987464, displayname='Cricket Australia', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,"['IzlamicTerror', 'islamicextremism', 'peshawarattack', 'ShiaKafir']",,"[User(username='TheRealPCB', id=2420020489, displayname='Pakistan Cricket', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='CricketAus', id=2230987464, displayname='Cricket Australia', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter Web App,1
2022-03-14 01:14:53+00:00,1503177815797252098,"A well-written article on expanding network of #ISKP, target killings of #Shias in #Pakistan &amp; #Afghanistan and #massacre at #Shia #Mosque in #Peshawar. #Peshawarblast #peshawarattack 
https://t.co/pyhpCe1mW7",https://twitter.com/asimawan27/status/1503177815797252098,"A well-written article on expanding network of #ISKP, target killings of #Shias in #Pakistan &amp; #Afghanistan and #massacre at #Shia #Mosque in #Peshawar. #Peshawarblast #peshawarattack 
thenews.com.pk/tns/detail/940…",asimawan27,393,0,0,2,1,en,1503177815797252098,['https://www.thenews.com.pk/tns/detail/940546-terror-strikes-peshawar'],,,,,,,,,"['ISKP', 'Shias', 'Pakistan', 'Afghanistan', 'massacre', 'Shia', 'Mosque', 'Peshawar', 'Peshawarblast', 'peshawarattack']",,,['https://www.thenews.com.pk/tns/detail/940546-terror-strikes-peshawar'],['https://t.co/pyhpCe1mW7'],Twitter Web App,1
2022-03-13 07:53:19+00:00,1502915698380660736,#peshawarattack https://t.co/UYxNWB8yLT,https://twitter.com/Muzi1214/status/1502915698380660736,#peshawarattack https://t.co/UYxNWB8yLT,Muzi1214,121,0,0,0,0,und,1502915698380660736,,"[Photo(previewUrl='https://pbs.twimg.com/media/FNtt3N0XoAA3N4s?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FNtt3N0XoAA3N4s?format=jpg&name=large')]",,,,,,,,['peshawarattack'],,,,,Twitter for Android,1
2022-03-12 15:59:04+00:00,1502675551428902919,"@FPCCI1 @dailytimespak @razak_dawood @Asad_Umar @shaukat_tarin @ShahFarman_PTI @ImranKhanPTI @FinMinistryPak @mincompk I thank FPCCI, however am puzzled at the lack of care given to the Peshawar victims shown by the government. #peshawarattack",https://twitter.com/SyedAmirSaqlain/status/1502675551428902919,"@FPCCI1 @dailytimespak @razak_dawood @Asad_Umar @shaukat_tarin @ShahFarman_PTI @ImranKhanPTI @FinMinistryPak @mincompk I thank FPCCI, however am puzzled at the lack of care given to the Peshawar victims shown by the government. #peshawarattack",SyedAmirSaqlain,61,0,0,1,0,en,1501072654425542656,,,,,1.501072654425543e+18,https://twitter.com/FPCCI1,"[User(username='FPCCI1', id=3193076232, displayname='FPCCI', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='dailytimespak', id=2191703749, displayname='Daily Times', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='razak_dawood', id=1130919609207578624, displayname='Abdul Razak Dawood', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Asad_Umar', id=452830010, displayname='Asad Umar', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='shaukat_tarin', id=1387717681269325829, displayname='Shaukat Tarin', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ShahFarman_PTI', id=868815961427759105, displayname='Shah Farman', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ImranKhanPTI', id=122453931, displayname='Imran Khan', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='FinMinistryPak', id=2541181428, displayname='Ministry of Finance', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='mincompk', id=1413736092185108491, displayname='Ministry of Commerce (MOC)', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,['peshawarattack'],,"[User(username='FPCCI1', id=3193076232, displayname='FPCCI', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='dailytimespak', id=2191703749, displayname='Daily Times', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='razak_dawood', id=1130919609207578624, displayname='Abdul Razak Dawood', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Asad_Umar', id=452830010, displayname='Asad Umar', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='shaukat_tarin', id=1387717681269325829, displayname='Shaukat Tarin', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ShahFarman_PTI', id=868815961427759105, displayname='Shah Farman', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ImranKhanPTI', id=122453931, displayname='Imran Khan', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='FinMinistryPak', id=2541181428, displayname='Ministry of Finance', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='mincompk', id=1413736092185108491, displayname='Ministry of Commerce (MOC)', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android,1
2022-03-11 14:22:15+00:00,1502288796997586950,UK: Protest rally against #PeshawarAttack  #Shiagenocide  Mosque blast held in Manchester [photos] - https://t.co/JI2SzdK5br,https://twitter.com/ShiaNewsAssn/status/1502288796997586950,UK: Protest rally against #PeshawarAttack  #Shiagenocide  Mosque blast held in Manchester [photos] - en.shafaqna.com/255331/ukprote…,ShiaNewsAssn,1221,0,1,1,0,en,1502288796997586950,['https://en.shafaqna.com/255331/ukprotest-rally-against-peshawar-shia-mosque-blast-held-in-manchesterphotos/'],,,,,,,,,"['PeshawarAttack', 'Shiagenocide']",,,['https://en.shafaqna.com/255331/ukprotest-rally-against-peshawar-shia-mosque-blast-held-in-manchesterphotos/'],['https://t.co/JI2SzdK5br'],Twitter Web App,1
2022-03-10 15:08:46+00:00,1501938118143795204,https://t.co/2a7t7HRAD6 #Peshawarblast #PeshawarAttack #Peshawar,https://twitter.com/azizbuneri/status/1501938118143795204,dailyshahbaz.com/article/Fear-a… #Peshawarblast #PeshawarAttack #Peshawar,azizbuneri,916,0,0,0,0,und,1501938118143795204,['https://dailyshahbaz.com/article/Fear-and-panic-spread-with-fake-audio-after-Peshawar-blast'],,,,,,,,,"['Peshawarblast', 'PeshawarAttack', 'Peshawar']",,,['https://dailyshahbaz.com/article/Fear-and-panic-spread-with-fake-audio-after-Peshawar-blast'],['https://t.co/2a7t7HRAD6'],Twitter for iPhone,1
2022-03-10 11:25:17+00:00,1501881877011087360,"Islamic State (IS) suicide: bomber of Peshawar mosque was Afghan National: Police officials         

#PeshawarAttack #TerroristAttack #Mosque #AfghanNational https://t.co/0elaumPpU1",https://twitter.com/thevisiontvpk/status/1501881877011087360,"Islamic State (IS) suicide: bomber of Peshawar mosque was Afghan National: Police officials         

#PeshawarAttack #TerroristAttack #Mosque #AfghanNational https://t.co/0elaumPpU1",thevisiontvpk,942,0,1,3,0,en,1501881877011087360,,"[Photo(previewUrl='https://pbs.twimg.com/media/FNfAqt2WUAQ5vLN?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FNfAqt2WUAQ5vLN?format=jpg&name=large')]",,,,,,,,"['PeshawarAttack', 'TerroristAttack', 'Mosque', 'AfghanNational']",,,,,Twitter Web App,1
2022-03-10 10:50:00+00:00,1501872995584790528,"Security forces said the three terrorists were returning to #Peshawar to 'carry out #terroristactivities' in Khyber district before they were intercepted
For more, Visit: https://t.co/xnwJ60SF9l

#PeshawarAttack #PeshawarBlast #ImambargahExplosion @TFT_ #Terrorism https://t.co/YWlH9kzOsx",https://twitter.com/TFT_/status/1501872995584790528,"Security forces said the three terrorists were returning to #Peshawar to 'carry out #terroristactivities' in Khyber district before they were intercepted
For more, Visit: thefridaytimes.com/3-terrorists-b…

#PeshawarAttack #PeshawarBlast #ImambargahExplosion @TFT_ #Terrorism https://t.co/YWlH9kzOsx",TFT_,38249,0,0,2,0,en,1501872995584790528,['https://www.thefridaytimes.com/3-terrorists-behind-peshawar-imambargah-attack-killed-by-security-forces-police/'],"[Photo(previewUrl='https://pbs.twimg.com/media/FNeccnyXwAEoeXN?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FNeccnyXwAEoeXN?format=jpg&name=large')]",,,,,"[User(username='TFT_', id=235919295, displayname='The Friday Times', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,"['Peshawar', 'terroristactivities', 'PeshawarAttack', 'PeshawarBlast', 'ImambargahExplosion', 'Terrorism']",,"[User(username='TFT_', id=235919295, displayname='The Friday Times', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",['https://www.thefridaytimes.com/3-terrorists-behind-peshawar-imambargah-attack-killed-by-security-forces-police/'],['https://t.co/xnwJ60SF9l'],Twitter Web App,1
2022-03-10 06:41:45+00:00,1501810521896472576,"Law enforcement agencies have killed three suspected terrorists, including the main handler behind the gun-and-suicide attack on a Shia mosque in Peshawar, during an operation in a remote area of Khyber district. 

#PeshawarAttack #PeshawarBlast #ShiaGenocide https://t.co/QuxUW7tvUY",https://twitter.com/correspondentPk/status/1501810521896472576,"Law enforcement agencies have killed three suspected terrorists, including the main handler behind the gun-and-suicide attack on a Shia mosque in Peshawar, during an operation in a remote area of Khyber district. 

#PeshawarAttack #PeshawarBlast #ShiaGenocide https://t.co/QuxUW7tvUY",correspondentPk,732,0,0,0,0,en,1501810521896472576,,"[Photo(previewUrl='https://pbs.twimg.com/media/FNeAspfXMAENhep?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FNeAspfXMAENhep?format=jpg&name=large')]",,,,,,,,"['PeshawarAttack', 'PeshawarBlast', 'ShiaGenocide']",,,,,Twitter for iPhone,1
