date,user_id,text,url,renderedContent,user_name,user_followers,replyCount,retweet-count,likeCount,quoteCount,lang,conversationId,outlinks,source,is_retweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,user_location,hashtags,cashtags,mentionedUsers.1,outlinks.1,tcooutlinks,sourceLabel,Sarcasm,Sentiment,Polarity
2022-03-16 09:24:12+00:00,1504025732804231170,"پشاور دھماکے میں جاں بحق ہونے والوں کے ورثا کیلئے 20 لاکھ روپے معاوضے کی منظوری

https://t.co/Ob7SJ9UPMR

#peshawarattack #compensation #DawnNews",https://twitter.com/Dawn_News/status/1504025732804231170,"پشاور دھماکے میں جاں بحق ہونے والوں کے ورثا کیلئے 20 لاکھ روپے معاوضے کی منظوری

dawnnews.tv/news/1179075/

#peshawarattack #compensation #DawnNews",Dawn_News,2227048,0,0,5,0,ur,1504025732804231170,['https://www.dawnnews.tv/news/1179075/'],,,,,,,,,"['peshawarattack', 'compensation', 'DawnNews']",,,['https://www.dawnnews.tv/news/1179075/'],['https://t.co/Ob7SJ9UPMR'],TweetDeck,0,0,0.00578323
2022-03-13 16:51:58+00:00,1503051250442641416,"""چلے جو ہوگے شہادت کا جام پی کر تم 
رسول ص پاک نے بانہوں میں لے لیا ہوگا
علی ع تمہاری شہادت پہ جھومتے ہونگے
حسین ع پاک نے ارشاد یہ کیا ہوگا 
تمہیں خدا کی رضائیں سلام کہتی ہیں ""
💔💔💔💔
#PeshawarAttack 
 
Recite surah fatiha for my Mamu (شہید آغا غضنفر علی قزلباش ) https://t.co/bWExwQonlE",https://twitter.com/M_LeehaBatool/status/1503051250442641416,"""چلے جو ہوگے شہادت کا جام پی کر تم 
رسول ص پاک نے بانہوں میں لے لیا ہوگا
علی ع تمہاری شہادت پہ جھومتے ہونگے
حسین ع پاک نے ارشاد یہ کیا ہوگا 
تمہیں خدا کی رضائیں سلام کہتی ہیں ""
💔💔💔💔
#PeshawarAttack 
 
Recite surah fatiha for my Mamu (شہید آغا غضنفر علی قزلباش ) https://t.co/bWExwQonlE",M_LeehaBatool,419,2,2,21,0,ur,1503051250442641416,,"[Photo(previewUrl='https://pbs.twimg.com/media/FNvpJSIXMAUKN1f?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FNvpJSIXMAUKN1f?format=jpg&name=large')]",,,,,,,,['PeshawarAttack'],,,,,Twitter for Android,0,0,0.0011351407
2022-03-13 14:36:05+00:00,1503017054894497799,"70 سے زائد شہداء
کے باوجود بلدیاتی انتخابات میں پھر سے گانے بجانے شروع ہوگئے بہت افسوس... ❗️ 
 پاراچنار....
#PeshawarunderAttack 
#PeshawarAttack 
#Peshawar",https://twitter.com/FKharmangi/status/1503017054894497799,"70 سے زائد شہداء
کے باوجود بلدیاتی انتخابات میں پھر سے گانے بجانے شروع ہوگئے بہت افسوس... ❗️ 
 پاراچنار....
#PeshawarunderAttack 
#PeshawarAttack 
#Peshawar",FKharmangi,12,0,0,0,0,ur,1503017054894497799,,,,,,,,,,"['PeshawarunderAttack', 'PeshawarAttack', 'Peshawar']",,,,,Twitter for Android,0,0,9.302988e-05
2022-03-12 15:55:57+00:00,1502674767811424258,@PresOfPakistan  When will Pakistan Government provide financial aid to victims of #peshawarattack,https://twitter.com/SyedAmirSaqlain/status/1502674767811424258,@PresOfPakistan  When will Pakistan Government provide financial aid to victims of #peshawarattack,SyedAmirSaqlain,61,0,0,0,0,en,1502674767811424258,,,,,,,"[User(username='PresOfPakistan', id=1034180386736295938, displayname='The President of Pakistan', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,['peshawarattack'],,"[User(username='PresOfPakistan', id=1034180386736295938, displayname='The President of Pakistan', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android,0,0,0.049390316
2022-03-12 09:45:02+00:00,1502581423785525248,"""Bill tabled in US to declare Pakistan state sponsor of terrorism"" https://t.co/xQRqI74WCV #peshawarattack #peshawarunderattack",https://twitter.com/i5rar/status/1502581423785525248,"""Bill tabled in US to declare Pakistan state sponsor of terrorism"" tribune.com.pk/story/2347342/… #peshawarattack #peshawarunderattack",i5rar,17609,0,0,1,0,en,1502581423785525248,['https://tribune.com.pk/story/2347342/bill-tabled-in-us-house-to-declare-pakistan-state-sponsor-of-terrorism'],,,,,,,,,"['peshawarattack', 'peshawarunderattack']",,,['https://tribune.com.pk/story/2347342/bill-tabled-in-us-house-to-declare-pakistan-state-sponsor-of-terrorism'],['https://t.co/xQRqI74WCV'],Twitter for Android,0,1,0.99446523
2022-03-11 13:02:35+00:00,1502268750678175748,By this Hadees it is proved that the Umayyad Dynasty was illegal Because through the P. Muhammadﷺ Allahص has forbidden #Khilafat for Family &amp; Children of Abu Sufiyan. So the one who says #حضرت_امیر_معاویہؓ_کا_گستاخ_کافر_ہے is Kafir Himself.#Peshawar #PeshawarAttack #Shiagenocide https://t.co/WivPytmD3j,https://twitter.com/SayedHaiderRiz1/status/1502268750678175748,By this Hadees it is proved that the Umayyad Dynasty was illegal Because through the P. Muhammadﷺ Allahص has forbidden #Khilafat for Family &amp; Children of Abu Sufiyan. So the one who says #حضرت_امیر_معاویہؓ_کا_گستاخ_کافر_ہے is Kafir Himself.#Peshawar #PeshawarAttack #Shiagenocide twitter.com/SayedHaiderRiz…,SayedHaiderRiz1,56,0,0,2,0,en,1502268750678175748,['https://twitter.com/SayedHaiderRiz1/status/1502266622932889603'],,,https://twitter.com/SayedHaiderRiz1/status/1502266622932889603,,,,,,"['Khilafat', 'حضرت_امیر_معاویہؓ_کا_گستاخ_کافر_ہے', 'Peshawar', 'PeshawarAttack', 'Shiagenocide']",,,['https://twitter.com/SayedHaiderRiz1/status/1502266622932889603'],['https://t.co/WivPytmD3j'],Twitter for Android,0,1,0.99747854
2022-03-11 12:02:08+00:00,1502253537434210307,"پشاور دھماکہ کے واقعے کو پورا ایک ہفتہ ہوگیا، تفصیل جانئے نمائندہ واجد ہوتی سے۔۔۔!!

#KhyberNews #Peshawarblast #PeshawarAttack #Peshawar #Pakistan https://t.co/yYf4Z0hPtI",https://twitter.com/KhyberNews247/status/1502253537434210307,"پشاور دھماکہ کے واقعے کو پورا ایک ہفتہ ہوگیا، تفصیل جانئے نمائندہ واجد ہوتی سے۔۔۔!!

#KhyberNews #Peshawarblast #PeshawarAttack #Peshawar #Pakistan https://t.co/yYf4Z0hPtI",KhyberNews247,38970,0,4,5,0,ur,1502253537434210307,,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1502253023908835331/pu/img/q6Z6yNkLfnw_zQvh.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1502253023908835331/pu/vid/480x270/7JibhXLbBsa_mpVc.mp4?tag=12', bitrate=256000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1502253023908835331/pu/vid/640x360/z-1O64xisTkTDk1d.mp4?tag=12', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1502253023908835331/pu/vid/1280x720/9LJN7ocEN19qkMu2.mp4?tag=12', bitrate=2176000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1502253023908835331/pu/pl/CW78jwHCY9WumytL.m3u8?tag=12&container=fmp4', bitrate=None)], duration=92.113, views=54)]",,,,,,,,"['KhyberNews', 'Peshawarblast', 'PeshawarAttack', 'Peshawar', 'Pakistan']",,,,,Twitter Web App,0,0,0.00018906593
2022-03-11 08:40:34+00:00,1502202813404876802,"یہ وہی پشاور ہے جس نے پہلی بار عمران خان کو سیاسی طور پر دنیا میں روشناس کرایا اور پہلی بار صوبائی حکومت بنانے جیسے سیاسی قوت کا حامل بنایا https://t.co/jJ6mMciS46 
#Peshawarblast #PeshawarunderAttack #PeshawarAttack #blast #imrankhanPTI",https://twitter.com/TNN_UPDATES/status/1502202813404876802,"یہ وہی پشاور ہے جس نے پہلی بار عمران خان کو سیاسی طور پر دنیا میں روشناس کرایا اور پہلی بار صوبائی حکومت بنانے جیسے سیاسی قوت کا حامل بنایا tnnurdu.com/urdu-columns/1… 
#Peshawarblast #PeshawarunderAttack #PeshawarAttack #blast #imrankhanPTI",TNN_UPDATES,1820,0,0,0,0,ur,1502202813404876802,['https://tnnurdu.com/urdu-columns/135438/'],,,,,,,,,"['Peshawarblast', 'PeshawarunderAttack', 'PeshawarAttack', 'blast', 'imrankhanPTI']",,,['https://tnnurdu.com/urdu-columns/135438/'],['https://t.co/jJ6mMciS46'],Twitter Web App,0,0,0.005486548
2022-03-11 07:50:47+00:00,1502190282871296003,"If govt don't give Any relief they will suffer more, Govt should give them their rights ...
#PeshawarAttack #Shiagenocide
#JummaMubarak",https://twitter.com/JamilSaqi12/status/1502190282871296003,"If govt don't give Any relief they will suffer more, Govt should give them their rights ...
#PeshawarAttack #Shiagenocide
#JummaMubarak",JamilSaqi12,598,0,0,0,0,en,1502189339752767491,,,,,1.5021893397527675e+18,https://twitter.com/JamilSaqi12,,,,"['PeshawarAttack', 'Shiagenocide', 'JummaMubarak']",,,,,Twitter for Android,0,1,0.99955785
2022-03-11 07:21:42+00:00,1502182965056778240,"چار مارچ کو پشاور کی جامع مسجد کوچہ رسالدار میں خودکش بمبار کے 3 سہولت کار پولیس مقابلے میں ہلاک ، حکام 
#Peshawarblast 
#PeshawarAttack",https://twitter.com/naveedkamal1/status/1502182965056778240,"چار مارچ کو پشاور کی جامع مسجد کوچہ رسالدار میں خودکش بمبار کے 3 سہولت کار پولیس مقابلے میں ہلاک ، حکام 
#Peshawarblast 
#PeshawarAttack",naveedkamal1,94,0,0,0,0,ur,1502182965056778240,,,,,,,,,,"['Peshawarblast', 'PeshawarAttack']",,,,,Twitter for iPhone,0,1,0.9992207
